,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,Glenroy,2/13 Becket St S,3,t,585000.0,S,Stockdale,3/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
1,Glenroy,89 John St,3,h,610000.0,S,Ray,3/09/2016,13.0,3046.0,3.0,1.0,2.0,696.0,118.0,1960.0,Moreland,-37.6972,144.9431,Northern Metropolitan,8870.0
2,Glenroy,1/83 Maude Av,3,t,480000.0,VB,Brad,3/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
3,Glenroy,18 Pengana Av,3,h,681500.0,S,Barry,3/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
4,Glenroy,52 Tarana Av,3,h,640000.0,S,Nelson,3/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
5,Glenroy,11 Valley Cr,3,h,712000.0,S,Eview,3/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
6,Glenroy,55 Daley St,3,h,610000.0,S,Walshe,3/12/2016,13.0,3046.0,3.0,1.0,3.0,640.0,144.0,1960.0,Moreland,-37.6979,144.9335,Northern Metropolitan,8870.0
7,Glenroy,2/74 Daley St,3,t,555000.0,SP,Stockdale,3/12/2016,13.0,3046.0,3.0,2.0,2.0,244.0,3.0,,Moreland,-37.6969,144.9299,Northern Metropolitan,8870.0
8,Glenroy,62 Farview St,3,h,500000.0,S,Nelson,3/12/2016,13.0,3046.0,3.0,1.0,1.0,336.0,,,Moreland,-37.7088,144.9356,Northern Metropolitan,8870.0
9,Glenroy,82 Melbourne Av,3,h,800000.0,S,Stockdale,3/12/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
10,Glenroy,39 Morley St,3,h,806500.0,S,Barry,3/12/2016,13.0,3046.0,3.0,1.0,2.0,766.0,127.0,1965.0,Moreland,-37.6988,144.9372,Northern Metropolitan,8870.0
11,Glenroy,23 Wheatsheaf Rd,5,h,1150000.0,PI,Barry,3/12/2016,13.0,3046.0,5.0,3.0,2.0,700.0,,,Moreland,-37.7095,144.9253,Northern Metropolitan,8870.0
12,Glenroy,13 Acacia St,5,h,850000.0,PI,Barry,4/03/2017,13.0,3046.0,5.0,3.0,1.0,487.0,,,Moreland,-37.7088,144.92600000000002,Northern Metropolitan,8870.0
13,Glenroy,3/45 Isla Av,3,t,565000.0,S,YPA,4/03/2017,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
14,Glenroy,21 Langton St,2,h,758000.0,S,Stockdale,4/03/2017,13.0,3046.0,2.0,,,,,,,,,Northern Metropolitan,8870.0
15,Glenroy,66 Langton St,3,h,590000.0,S,Stockdale,4/03/2017,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
16,Glenroy,2 Roy St,4,h,550000.0,VB,Peter,4/03/2017,13.0,3046.0,4.0,2.0,1.0,683.0,138.0,2017.0,Moreland,-37.6964,144.9314,Northern Metropolitan,8870.0
17,Glenroy,42 Sadie St,3,h,822000.0,S,Stockdale,4/03/2017,13.0,3046.0,3.0,1.0,4.0,700.0,105.0,1950.0,Moreland,-37.6988,144.9438,Northern Metropolitan,8870.0
18,Glenroy,15 Stanley St,3,h,980000.0,SP,Brad,4/03/2017,13.0,3046.0,3.0,2.0,3.0,1029.0,136.0,1950.0,Moreland,-37.7115,144.9147,Northern Metropolitan,8870.0
19,Glenroy,15 Valley Cr,2,h,625000.0,SP,Barry,4/03/2017,13.0,3046.0,2.0,,,,,,,,,Northern Metropolitan,8870.0
20,Glenroy,28 Centre Wy,3,h,645150.0,SP,Stockdale,4/06/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
21,Glenroy,20 Leonard Av,2,h,607000.0,S,Barry,4/06/2016,13.0,3046.0,2.0,,,,,,,,,Northern Metropolitan,8870.0
22,Glenroy,123 Glenroy Rd,3,h,670000.0,S,Stockdale,6/08/2016,13.0,3046.0,3.0,1.0,1.0,652.0,,,Moreland,-37.7062,144.9261,Northern Metropolitan,8870.0
23,Glenroy,3/27 Harold St,2,u,430000.0,PI,Jason,6/08/2016,13.0,3046.0,2.0,1.0,1.0,164.0,100.0,2010.0,Moreland,-37.7072,144.9252,Northern Metropolitan,8870.0
24,Glenroy,45 Stanley St,2,h,852500.0,S,Barry,6/08/2016,13.0,3046.0,2.0,1.0,2.0,832.0,,,Moreland,-37.7126,144.9122,Northern Metropolitan,8870.0
25,Glenroy,46 Stanley St,4,h,1025000.0,S,Burnham,6/08/2016,13.0,3046.0,4.0,2.0,4.0,1011.0,,,Moreland,-37.712,144.9127,Northern Metropolitan,8870.0
26,Glenroy,1c Barwon St,2,h,540000.0,VB,Nelson,7/05/2016,13.0,3046.0,2.0,1.0,1.0,164.0,114.0,2010.0,Moreland,-37.7082,144.9178,Northern Metropolitan,8870.0
27,Glenroy,1/23 Gordon Ct,3,t,500000.0,SP,Stockdale,7/05/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
28,Glenroy,23 Tarana Av,3,h,625000.0,S,Barry,7/05/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
29,Glenroy,13 Cherwell Av,5,h,665000.0,S,Barry,7/11/2016,13.0,3046.0,5.0,,,,,,,,,Northern Metropolitan,8870.0
30,Glenroy,79 Glen St,2,h,530000.0,SP,Barry,7/11/2016,13.0,3046.0,2.0,1.0,2.0,643.0,,,Moreland,-37.6978,144.9276,Northern Metropolitan,8870.0
31,Glenroy,11 Caldwell St,3,h,721000.0,S,YPA,8/10/2016,13.0,3046.0,3.0,1.0,2.0,674.0,,1976.0,Moreland,-37.7102,144.9362,Northern Metropolitan,8870.0
32,Glenroy,1 Gordon Ct,3,h,737000.0,S,Stockdale,8/10/2016,13.0,3046.0,3.0,1.0,4.0,640.0,97.0,1950.0,Moreland,-37.6986,144.9243,Northern Metropolitan,8870.0
33,Glenroy,134 John St,3,h,575500.0,S,hockingstuart,8/10/2016,13.0,3046.0,3.0,1.0,1.0,701.0,,,Moreland,-37.6953,144.9397,Northern Metropolitan,8870.0
34,Glenroy,4 Lyons St,3,h,600000.0,S,Barry,8/10/2016,13.0,3046.0,3.0,1.0,2.0,702.0,,,Moreland,-37.6999,144.9387,Northern Metropolitan,8870.0
35,Glenroy,24a Morell St,3,h,460000.0,SP,Raine,8/10/2016,13.0,3046.0,3.0,2.0,2.0,224.0,3.0,1950.0,Moreland,-37.702,144.9507,Northern Metropolitan,8870.0
36,Glenroy,1/919 Pascoe Vale Rd,3,t,370000.0,PI,Walshe,8/10/2016,13.0,3046.0,3.0,2.0,1.0,259.0,,2003.0,Moreland,-37.6977,144.9149,Northern Metropolitan,8870.0
37,Glenroy,6 Cosmos St,3,h,691000.0,S,Stockdale,10/09/2016,13.0,3046.0,3.0,1.0,2.0,753.0,,,Moreland,-37.7065,144.9374,Northern Metropolitan,8870.0
38,Glenroy,62 Everard St,3,h,500000.0,S,Nelson,10/09/2016,13.0,3046.0,3.0,1.0,1.0,589.0,,,Moreland,-37.6993,144.9393,Northern Metropolitan,8870.0
39,Glenroy,108 Loongana Av,3,h,485000.0,S,Raine,10/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
40,Glenroy,3/95 Loongana Av,2,t,402000.0,S,Considine,10/09/2016,13.0,3046.0,5.0,,,,,,,,,Northern Metropolitan,8870.0
41,Glenroy,3/67 Morell St,3,u,541000.0,SP,Brad,10/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
42,Glenroy,3/28 Stanley St,3,t,545000.0,S,Barry,10/09/2016,13.0,3046.0,3.0,2.0,1.0,136.0,130.0,2014.0,Moreland,-37.7112,144.9142,Northern Metropolitan,8870.0
43,Glenroy,2/8 Becket St S,2,t,455000.0,SP,Barry,10/12/2016,13.0,3046.0,5.0,,,,,,,,,Northern Metropolitan,8870.0
44,Glenroy,30 Bourchier St,3,h,670000.0,PI,Brad,10/12/2016,13.0,3046.0,3.0,1.0,4.0,734.0,140.0,1960.0,Moreland,-37.7007,144.9378,Northern Metropolitan,8870.0
45,Glenroy,44 Daley St,3,h,572000.0,S,Walshe,10/12/2016,13.0,3046.0,3.0,1.0,2.0,627.0,,,Moreland,-37.6974,144.9326,Northern Metropolitan,8870.0
46,Glenroy,6 Dromana St,4,h,702000.0,S,Eview,10/12/2016,13.0,3046.0,4.0,1.0,4.0,606.0,124.0,1956.0,Moreland,-37.7104,144.9088,Northern Metropolitan,8870.0
47,Glenroy,137 Glenroy Rd,2,h,730000.0,S,Barry,10/12/2016,13.0,3046.0,2.0,1.0,1.0,705.0,115.0,1950.0,Moreland,-37.706,144.9245,Northern Metropolitan,8870.0
48,Glenroy,1/19 Lytton St,2,t,449000.0,S,Eview,10/12/2016,13.0,3046.0,5.0,,,,,,,,,Northern Metropolitan,8870.0
49,Glenroy,116 Melbourne Av,2,h,680000.0,S,Barry,10/12/2016,13.0,3046.0,2.0,,,,,,,,,Northern Metropolitan,8870.0
50,Glenroy,2/49 Melbourne Av,2,t,410000.0,PI,Melbourne,10/12/2016,13.0,3046.0,5.0,,,,,,,,,Northern Metropolitan,8870.0
51,Glenroy,24 Trevannion St,3,h,711500.0,S,Stockdale,10/12/2016,13.0,3046.0,3.0,1.0,3.0,667.0,81.0,1950.0,Moreland,-37.7005,144.9185,Northern Metropolitan,8870.0
52,Glenroy,1 Tudor St,3,h,820000.0,VB,Nelson,10/12/2016,13.0,3046.0,3.0,2.0,4.0,805.0,,,Moreland,-37.708,144.9211,Northern Metropolitan,8870.0
53,Glenroy,45 Cosmos St,5,h,810000.0,S,Stockdale,11/03/2017,13.0,3046.0,5.0,4.0,4.0,695.0,176.0,1950.0,Moreland,-37.7028,144.9377,Northern Metropolitan,8870.0
54,Glenroy,116b Hilton St,3,t,580000.0,S,Melbourne,11/03/2017,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
55,Glenroy,41 Isla Av,2,h,438000.0,S,Ray,12/06/2016,13.0,3046.0,2.0,,,,,,,,,Northern Metropolitan,8870.0
56,Glenroy,9/11 Currajong St,2,u,250000.0,SP,Barry,12/11/2016,13.0,3046.0,2.0,1.0,1.0,0.0,61.0,1970.0,Moreland,-37.711,144.9178,Northern Metropolitan,8870.0
57,Glenroy,1/1 Danae St,3,t,460000.0,S,Eview,12/11/2016,13.0,3046.0,3.0,1.0,1.0,325.0,106.0,1970.0,Moreland,-37.7001,144.9291,Northern Metropolitan,8870.0
58,Glenroy,19 Justin Av,4,h,835000.0,S,Stockdale,12/11/2016,13.0,3046.0,4.0,,,,,,,,,Northern Metropolitan,8870.0
59,Glenroy,2/67 Morell St,3,t,550000.0,SP,Brad,12/11/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
60,Glenroy,24 Sadie St,3,h,793000.0,S,Eview,12/11/2016,13.0,3046.0,3.0,1.0,2.0,780.0,120.0,1960.0,Moreland,-37.7,144.9427,Northern Metropolitan,8870.0
61,Glenroy,7/89 Station Rd,2,u,340000.0,S,Nelson,12/11/2016,13.0,3046.0,2.0,1.0,1.0,0.0,74.0,1970.0,Moreland,-37.7071,144.9176,Northern Metropolitan,8870.0
62,Glenroy,57 View St,3,h,596000.0,S,Hodges,12/11/2016,13.0,3046.0,3.0,1.0,3.0,624.0,,,Moreland,-37.6967,144.9313,Northern Metropolitan,8870.0
63,Glenroy,1/61 Loongana Av,3,t,642000.0,S,Stockdale,14/05/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
64,Glenroy,39 Melbourne Av,3,h,670000.0,S,Brace,14/05/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
65,Glenroy,16 Valley Cr,3,h,525000.0,SP,Stockdale,14/05/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
66,Glenroy,149 Augustine Tce,3,h,447500.0,S,Melbourne,15/10/2016,13.0,3046.0,3.0,1.0,1.0,320.0,130.0,2000.0,Moreland,-37.6949,144.9122,Northern Metropolitan,8870.0
67,Glenroy,45 Fran St,3,h,588000.0,S,YPA,15/10/2016,13.0,3046.0,3.0,1.0,1.0,616.0,125.0,1960.0,Moreland,-37.7029,144.9053,Northern Metropolitan,8870.0
68,Glenroy,7 Isla Av,3,h,695000.0,S,Stockdale,15/10/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
69,Glenroy,1/25 Morell St,3,h,420000.0,PI,Raine,15/10/2016,13.0,3046.0,3.0,1.0,2.0,0.0,96.0,1960.0,Moreland,-37.7025,144.9504,Northern Metropolitan,8870.0
70,Glenroy,2/22 Sadie St,2,u,410000.0,SP,Brad,15/10/2016,13.0,3046.0,2.0,1.0,2.0,200.0,81.0,2000.0,Moreland,-37.7002,144.9428,Northern Metropolitan,8870.0
71,Glenroy,44 Widford St,3,h,688000.0,S,Stockdale,15/10/2016,13.0,3046.0,3.0,1.0,4.0,700.0,,,Moreland,-37.7022,144.924,Northern Metropolitan,8870.0
72,Glenroy,57 Widford St,3,h,612500.0,S,Stockdale,15/10/2016,13.0,3046.0,3.0,2.0,3.0,635.0,,,Moreland,-37.7006,144.9239,Northern Metropolitan,8870.0
73,Glenroy,20 Tarana Av,3,t,545000.0,SP,Brad,16/04/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
74,Glenroy,64 Valley Cr,3,h,570000.0,PI,Barry,16/04/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
75,Glenroy,40 View St,3,h,525000.0,S,Brad,16/04/2016,13.0,3046.0,3.0,1.0,1.0,665.0,85.0,1950.0,Moreland,-37.6966,144.9331,Northern Metropolitan,8870.0
76,Glenroy,2/14 Langton St,2,t,397500.0,S,Jellis,16/07/2016,13.0,3046.0,5.0,,,,,,,,,Northern Metropolitan,8870.0
77,Glenroy,10 Anselm Gr,3,h,703000.0,S,Eview,17/09/2016,13.0,3046.0,3.0,1.0,4.0,704.0,102.0,1960.0,Moreland,-37.7021,144.9136,Northern Metropolitan,8870.0
78,Glenroy,1/112 Cardinal Rd,4,t,608000.0,S,Raine,17/09/2016,13.0,3046.0,3.0,2.0,1.0,252.0,150.0,2014.0,Moreland,-37.7006,144.9299,Northern Metropolitan,8870.0
79,Glenroy,55 Fran St,5,h,705000.0,PI,Barry,17/09/2016,13.0,3046.0,5.0,3.0,2.0,612.0,,1970.0,Moreland,-37.7022,144.9054,Northern Metropolitan,8870.0
80,Glenroy,9a Kennedy St,3,t,677000.0,S,Barry,17/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
81,Glenroy,6/2 Murrell St,2,u,320500.0,S,Nelson,17/09/2016,13.0,3046.0,2.0,1.0,1.0,3056.0,,,Moreland,-37.7042,144.9214,Northern Metropolitan,8870.0
82,Glenroy,21A Cosmos St,3,h,577000.0,S,Barry,18/03/2017,13.0,3046.0,3.0,1.0,2.0,706.0,,,Moreland,-37.7053,144.9372,Northern Metropolitan,8870.0
83,Glenroy,97 Loongana Av,4,h,920000.0,S,Professionals,18/03/2017,13.0,3046.0,4.0,,,,,,,,,Northern Metropolitan,8870.0
84,Glenroy,4/788 Pascoe Vale Rd,2,t,450000.0,SP,Barry,18/03/2017,13.0,3046.0,5.0,,,,,,,,,Northern Metropolitan,8870.0
85,Glenroy,14/854 Pascoe Vale Rd,2,u,230000.0,PI,Raine,18/03/2017,13.0,3046.0,2.0,1.0,1.0,1996.0,,,Moreland,-37.702,144.9154,Northern Metropolitan,8870.0
86,Glenroy,2/36 Prospect St,4,t,607000.0,S,YPA,18/03/2017,13.0,3046.0,4.0,3.0,2.0,0.0,131.0,2014.0,Moreland,-37.7102,144.9112,Northern Metropolitan,8870.0
87,Glenroy,139 John St,3,h,765500.0,S,Barry,18/06/2016,13.0,3046.0,3.0,2.0,2.0,780.0,180.0,1970.0,Moreland,-37.6955,144.9389,Northern Metropolitan,8870.0
88,Glenroy,1/12 Maude Av,3,t,450000.0,SP,Nelson,18/06/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
89,Glenroy,29 Melbourne Av,3,h,807000.0,S,Stockdale,18/06/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
90,Glenroy,1/40 Morley St,3,t,530000.0,PI,Barry,18/06/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
91,Glenroy,23 Palana St,3,h,565000.0,S,Barry,18/06/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
92,Glenroy,2/709 Pascoe Vale Rd,3,u,470000.0,SP,Barry,18/06/2016,13.0,3046.0,3.0,1.0,2.0,187.0,99.0,2014.0,Moreland,-37.7098,144.9163,Northern Metropolitan,8870.0
93,Glenroy,1/2 Prospect St,3,u,482500.0,SP,Brad,18/06/2016,13.0,3046.0,3.0,1.0,1.0,265.0,,1995.0,Moreland,-37.7083,144.9158,Northern Metropolitan,8870.0
94,Glenroy,1a Stella St,3,h,482500.0,SP,Stockdale,18/06/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
95,Glenroy,108 Valley Cr,3,h,600000.0,S,Stockdale,18/06/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
96,Glenroy,48 Everard St,3,h,580000.0,S,Barry,19/11/2016,13.0,3046.0,3.0,1.0,2.0,650.0,142.0,1960.0,Moreland,-37.7002,144.9408,Northern Metropolitan,8870.0
97,Glenroy,1/28 Gladstone Pde,3,t,550000.0,VB,Barry,19/11/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
98,Glenroy,3/4 Murrell St,2,t,434500.0,S,Eview,19/11/2016,13.0,3046.0,2.0,1.0,1.0,125.0,,1975.0,Moreland,-37.7042,144.9211,Northern Metropolitan,8870.0
99,Glenroy,1/38 Stanley St,2,u,620250.0,S,Stockdale,19/11/2016,13.0,3046.0,2.0,1.0,2.0,253.0,91.0,2012.0,Moreland,-37.7117,144.9135,Northern Metropolitan,8870.0
100,Glenroy,1/80 Tarana Av,3,h,480000.0,S,Raine,19/11/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
101,Glenroy,128 Widford St,3,h,710000.0,S,Stockdale,19/11/2016,13.0,3046.0,3.0,1.0,1.0,796.0,104.0,1960.0,Moreland,-37.6955,144.9253,Northern Metropolitan,8870.0
102,Glenroy,54 Cromwell St,4,h,630000.0,S,Stockdale,22/05/2016,13.0,3046.0,3.0,1.0,2.0,630.0,130.0,1960.0,Moreland,-37.7002,144.9232,Northern Metropolitan,8870.0
103,Glenroy,37 Farview St,2,t,420000.0,SP,Stockdale,22/05/2016,13.0,3046.0,2.0,1.0,1.0,307.0,,,Moreland,-37.7117,144.9348,Northern Metropolitan,8870.0
104,Glenroy,10a Melbourne Av,2,h,486500.0,S,Nelson,22/05/2016,13.0,3046.0,2.0,,,,,,,,,Northern Metropolitan,8870.0
105,Glenroy,106 Outlook Dr,3,h,600000.0,S,Stockdale,22/05/2016,13.0,3046.0,3.0,1.0,4.0,541.0,139.0,1968.0,Moreland,-37.7051,144.9069,Northern Metropolitan,8870.0
106,Glenroy,30 Valley Cr,3,h,502500.0,S,Stockdale,22/05/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
107,Glenroy,1/7 Harold St,3,t,550000.0,SP,Stockdale,22/08/2016,13.0,3046.0,3.0,2.0,2.0,212.0,129.0,2010.0,Moreland,-37.7073,144.9277,Northern Metropolitan,8870.0
108,Glenroy,2/27 Morley St,3,u,460000.0,S,Barry,22/08/2016,13.0,3046.0,3.0,2.0,1.0,190.0,,,Moreland,-37.6997,144.9367,Northern Metropolitan,8870.0
109,Glenroy,55 Paget Av,3,h,582000.0,S,Nelson,22/08/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
110,Glenroy,46 Moonee Bvd,4,h,600000.0,SP,Stockdale,23/04/2016,13.0,3046.0,4.0,1.0,2.0,586.0,159.0,1968.0,Moreland,-37.6975,144.9065,Northern Metropolitan,8870.0
111,Glenroy,3/42 Pecham St,3,u,400000.0,VB,Nelson,23/04/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
112,Glenroy,47 Cardinal Rd,4,h,1217500.0,S,Barry,24/09/2016,13.0,3046.0,4.0,3.0,2.0,693.0,192.0,2014.0,Moreland,-37.7111,144.9275,Northern Metropolitan,8870.0
113,Glenroy,135 Hilton St,3,h,600000.0,SP,Barry,24/09/2016,13.0,3046.0,3.0,1.0,2.0,599.0,150.0,1960.0,Moreland,-37.7009,144.9291,Northern Metropolitan,8870.0
114,Glenroy,3/19 Isla Av,3,u,470000.0,SP,Barry,24/09/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
115,Glenroy,34 Melbourne Av,2,h,452000.0,S,Barry,24/09/2016,13.0,3046.0,2.0,,,,,,,,,Northern Metropolitan,8870.0
116,Glenroy,29 Moonee Bvd,3,h,570000.0,PI,Barry,24/09/2016,13.0,3046.0,3.0,2.0,2.0,585.0,146.0,1975.0,Moreland,-37.6977,144.9071,Northern Metropolitan,8870.0
117,Glenroy,46 Sadie St,4,h,655000.0,SP,Stockdale,24/09/2016,13.0,3046.0,4.0,1.0,2.0,695.0,,,Moreland,-37.6985,144.9441,Northern Metropolitan,8870.0
118,Glenroy,83 Beatty Av,3,h,645000.0,S,Stockdale,25/02/2017,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
119,Glenroy,118 Bindi St,3,h,500000.0,SP,Nelson,25/02/2017,13.0,3046.0,3.0,1.0,4.0,677.0,,,Moreland,-37.695,144.9271,Northern Metropolitan,8870.0
120,Glenroy,65 Farview St,3,h,762700.0,SP,Stockdale,25/02/2017,13.0,3046.0,3.0,1.0,4.0,597.0,100.0,1960.0,Moreland,-37.7097,144.9351,Northern Metropolitan,8870.0
121,Glenroy,3/27 Gladstone Pde,2,u,465000.0,S,YPA,25/02/2017,13.0,3046.0,2.0,1.0,1.0,176.0,89.0,2012.0,Moreland,-37.7081,144.912,Northern Metropolitan,8870.0
122,Glenroy,52 Glenroy Rd,2,h,741250.0,S,Barry,25/02/2017,13.0,3046.0,2.0,1.0,1.0,668.0,88.0,1955.0,Moreland,-37.7067,144.9331,Northern Metropolitan,8870.0
123,Glenroy,4/36 Acacia St,2,t,488500.0,S,Stockdale,27/06/2016,13.0,3046.0,2.0,2.0,1.0,190.0,2.0,,Moreland,-37.7072,144.9241,Northern Metropolitan,8870.0
124,Glenroy,44 Everard St,4,h,787500.0,S,Barry,27/06/2016,13.0,3046.0,4.0,2.0,2.0,650.0,,,Moreland,-37.7004,144.9411,Northern Metropolitan,8870.0
125,Glenroy,1/47 Lytton St,2,u,442000.0,S,Brad,27/06/2016,13.0,3046.0,3.0,1.0,1.0,245.0,,,Moreland,-37.7076,144.9097,Northern Metropolitan,8870.0
126,Glenroy,109 Paget Av,3,h,500000.0,PI,Barry,27/06/2016,13.0,3046.0,3.0,,,,,,,,,Northern Metropolitan,8870.0
127,Glenroy,6 Pengana Av,6,h,1035000.0,S,Nelson,27/06/2016,13.0,3046.0,6.0,,,,,,,,,Northern Metropolitan,8870.0
128,Glenroy,1/15 Acacia St,2,t,484852.0,SP,Eview,27/11/2016,13.0,3046.0,5.0,,,,,,,,,Northern Metropolitan,8870.0
129,Glenroy,107 Glenroy Rd,4,h,1000000.0,PI,Barry,27/11/2016,13.0,3046.0,4.0,2.0,8.0,977.0,304.0,1935.0,Moreland,-37.7063,144.9273,Northern Metropolitan,8870.0
